YEAR,MONTH,DATE,SITE,TRANSECT,SP_CODE,LENGTH_CM,WIDTH_CM,STIPE_LENGTH_CM,OBS_CODE,NOTES,ENTERED BY,CHECKED BY
2016,8,8/24/16,Ft Weatherill,4,SL,55,8,4,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,24,3,2,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,28,4,2,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,40,4,2,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,46,6,4,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,50,5,3,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,32,4,2,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,52,40,10,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,53,20,4,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,32,25,6,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,44,31,6,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,58,19,7,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,65,29,9,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,52,35,13,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,32,22,6,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,36,35,9,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,LADI,65,19,8,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,62,8,10,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,55,12,5,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,190,16,5,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,38,5,3,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,68,9,11,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,32,5,2,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,27,4,3,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,39,5,4,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,21,3,3,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,3,SL,30,9,5,AH,Could be LADI - unsure,Evans,Austin
