YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,QUAD,SP_CODE,COUNT,NOTES,OBSERVER,ENTERED BY,CHECKED BY
2017,8,8/29/17,Ft Wetherill,2,OFF,0,SL,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,OFF,0,SDL,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,8,SL,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,8,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,OFF,16,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,OFF,16,URCI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,24,SL,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,OFF,32,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,OFF,32,MYSP,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,40,SL,4,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,40,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,40,ASFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,2,ON,40,CRFO,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,0,URCI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,8,SDL,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,8,LDJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,SL,4,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,SLJ,17,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,ASFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,MYSP,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,SDL,3,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,LADI,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,16,HOAS,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,24,SL,11,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,24,SLJ,6,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,24,SDL,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,24,LADI,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,32,SL,3,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,32,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,OFF,32,ASFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,40,MYSP,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,40,URCI,4,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,3,ON,40,SDL,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,OFF,0,SL,11,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,OFF,0,SLJ,7,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,OFF,0,LADI,4,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,OFF,0,URCI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,8,SL,4,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,8,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,8,ASFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,8,LADI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,8,LDJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,OFF,16,LADI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,24,SL,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,24,SLJ,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,24,ASFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,24,LADI,3,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,24,HOAS,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,OFF,32,LADI,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/31/17,Ft Wetherill,4,ON,40,SL,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
