YEAR,HABITAT,REGION,SITE,CONTROL,TRANSECT,SUBSTRATE,COVER
2019,Kelp,Narragansett Bay,King's Beach,0,2,BL,0.7125
2019,Kelp,Narragansett Bay,King's Beach,0,2,BM,0.0625
2019,Kelp,Narragansett Bay,King's Beach,0,2,BS,0.125
2019,Kelp,Narragansett Bay,King's Beach,0,2,C,0.0375
2019,Kelp,Narragansett Bay,King's Beach,0,2,S,0.0625
2019,Kelp,Narragansett Bay,King's Beach,0,3,B,0.125
2019,Kelp,Narragansett Bay,King's Beach,0,3,BL,0.6
2019,Kelp,Narragansett Bay,King's Beach,0,3,BM,0.125
2019,Kelp,Narragansett Bay,King's Beach,0,3,C,0.1375
2019,Kelp,Narragansett Bay,King's Beach,0,3,S,0.0125
2019,Kelp,Narragansett Bay,King's Beach,0,4,B,0.1625
2019,Kelp,Narragansett Bay,King's Beach,0,4,BL,0.35
2019,Kelp,Narragansett Bay,King's Beach,0,4,BM,0.1875
2019,Kelp,Narragansett Bay,King's Beach,0,4,BS,0.075
2019,Kelp,Narragansett Bay,King's Beach,0,4,C,0.175
2019,Kelp,Narragansett Bay,King's Beach,0,4,S,0.05
2020,Kelp,Narragansett Bay,Fort Wetherill,0,1,BL,0.45
2020,Kelp,Narragansett Bay,Fort Wetherill,0,1,BM,0.05
2020,Kelp,Narragansett Bay,Fort Wetherill,0,1,BS,0.2375
2020,Kelp,Narragansett Bay,Fort Wetherill,0,1,C,0.1625
2020,Kelp,Narragansett Bay,Fort Wetherill,0,1,S,0.1
2020,Kelp,Narragansett Bay,Fort Wetherill,0,2,BL,0.4375
2020,Kelp,Narragansett Bay,Fort Wetherill,0,2,BM,0.0875
2020,Kelp,Narragansett Bay,Fort Wetherill,0,2,BS,0.175
2020,Kelp,Narragansett Bay,Fort Wetherill,0,2,C,0.25
2020,Kelp,Narragansett Bay,Fort Wetherill,0,2,S,0.05
2020,Kelp,Narragansett Bay,Fort Wetherill,0,3,B,0.0125
2020,Kelp,Narragansett Bay,Fort Wetherill,0,3,BL,0.5125
2020,Kelp,Narragansett Bay,Fort Wetherill,0,3,C,0.1
2020,Kelp,Narragansett Bay,Fort Wetherill,0,3,S,0.375
2020,Kelp,Narragansett Bay,Fort Wetherill,0,4,BL,0.5
2020,Kelp,Narragansett Bay,Fort Wetherill,0,4,BM,0.2
2020,Kelp,Narragansett Bay,Fort Wetherill,0,4,BS,0.125
2020,Kelp,Narragansett Bay,Fort Wetherill,0,4,C,0.0875
2020,Kelp,Narragansett Bay,Fort Wetherill,0,4,S,0.0875
2020,Kelp,Narragansett Bay,Fort Wetherill,1,5,BL,0.15
2020,Kelp,Narragansett Bay,Fort Wetherill,1,5,BM,0.2375
2020,Kelp,Narragansett Bay,Fort Wetherill,1,5,BS,0.0875
2020,Kelp,Narragansett Bay,Fort Wetherill,1,5,C,0.025
2020,Kelp,Narragansett Bay,Fort Wetherill,1,5,S,0.5
2020,Kelp,Narragansett Bay,Fort Wetherill,1,6,BL,0.125
2020,Kelp,Narragansett Bay,Fort Wetherill,1,6,BM,0.1125
2020,Kelp,Narragansett Bay,Fort Wetherill,1,6,BS,0.225
2020,Kelp,Narragansett Bay,Fort Wetherill,1,6,C,0.2875
2020,Kelp,Narragansett Bay,Fort Wetherill,1,6,S,0.25
2020,Kelp,Narragansett Bay,King's Beach,0,2,B,0.4
2020,Kelp,Narragansett Bay,King's Beach,0,2,BL,0.1375
2020,Kelp,Narragansett Bay,King's Beach,0,2,BM,0.05
2020,Kelp,Narragansett Bay,King's Beach,0,2,BS,0.1125
2020,Kelp,Narragansett Bay,King's Beach,0,2,C,0.2875
2020,Kelp,Narragansett Bay,King's Beach,0,2,S,0.0125
2020,Kelp,Narragansett Bay,King's Beach,0,3,B,0.325
2020,Kelp,Narragansett Bay,King's Beach,0,3,BL,0.625
2020,Kelp,Narragansett Bay,King's Beach,0,3,C,0.0375
2020,Kelp,Narragansett Bay,King's Beach,0,3,S,0.0125
2020,Kelp,Narragansett Bay,King's Beach,0,4,B,0.25
2020,Kelp,Narragansett Bay,King's Beach,0,4,BL,0.321428571
2020,Kelp,Narragansett Bay,King's Beach,0,4,BM,0.011904762
2020,Kelp,Narragansett Bay,King's Beach,0,4,BS,0.047619048
2020,Kelp,Narragansett Bay,King's Beach,0,4,C,0.107142857
2020,Kelp,Narragansett Bay,King's Beach,0,4,S,0.261904762
2020,Kelp,Narragansett Bay,King's Beach,1,1,B,0.011904762
2020,Kelp,Narragansett Bay,King's Beach,1,1,BL,0.357142857
2020,Kelp,Narragansett Bay,King's Beach,1,1,BM,0.166666667
2020,Kelp,Narragansett Bay,King's Beach,1,1,BS,0.166666667
2020,Kelp,Narragansett Bay,King's Beach,1,1,C,0.05952381
2020,Kelp,Narragansett Bay,King's Beach,1,1,S,0.238095238
2020,Kelp,Narragansett Bay,King's Beach,1,5,BL,0.2375
2020,Kelp,Narragansett Bay,King's Beach,1,5,BM,0.1
2020,Kelp,Narragansett Bay,King's Beach,1,5,BS,0.075
2020,Kelp,Narragansett Bay,King's Beach,1,5,C,0.5375
2020,Kelp,Narragansett Bay,King's Beach,1,5,S,0.05
2021,Kelp,Narragansett Bay,Fort Wetherill,0,1,BL,0.307692308
2021,Kelp,Narragansett Bay,Fort Wetherill,0,1,BM,0.358974359
2021,Kelp,Narragansett Bay,Fort Wetherill,0,1,BS,0.128205128
2021,Kelp,Narragansett Bay,Fort Wetherill,0,1,C,0.128205128
2021,Kelp,Narragansett Bay,Fort Wetherill,0,1,S,0.076923077
2021,Kelp,Narragansett Bay,Fort Wetherill,0,2,B,0.064102564
2021,Kelp,Narragansett Bay,Fort Wetherill,0,2,BL,0.282051282
2021,Kelp,Narragansett Bay,Fort Wetherill,0,2,BM,0.243589744
2021,Kelp,Narragansett Bay,Fort Wetherill,0,2,BS,0.205128205
2021,Kelp,Narragansett Bay,Fort Wetherill,0,2,C,0.102564103
2021,Kelp,Narragansett Bay,Fort Wetherill,0,2,S,0.102564103
2021,Kelp,Narragansett Bay,Fort Wetherill,0,3,BL,0.474358974
2021,Kelp,Narragansett Bay,Fort Wetherill,0,3,BM,0.025641026
2021,Kelp,Narragansett Bay,Fort Wetherill,0,3,BS,0.179487179
2021,Kelp,Narragansett Bay,Fort Wetherill,0,3,C,0.051282051
2021,Kelp,Narragansett Bay,Fort Wetherill,0,3,S,0.269230769
2021,Kelp,Narragansett Bay,Fort Wetherill,0,4,B,0.012820513
2021,Kelp,Narragansett Bay,Fort Wetherill,0,4,BL,0.858974359
2021,Kelp,Narragansett Bay,Fort Wetherill,0,4,BM,0.051282051
2021,Kelp,Narragansett Bay,Fort Wetherill,0,4,BS,0.038461538
2021,Kelp,Narragansett Bay,Fort Wetherill,0,4,S,0.038461538
2021,Kelp,Narragansett Bay,Fort Wetherill,0,5,BL,0.972972973
2021,Kelp,Narragansett Bay,Fort Wetherill,0,5,C,0.013513514
2021,Kelp,Narragansett Bay,Fort Wetherill,0,5,S,0.013513514
2021,Kelp,Narragansett Bay,Fort Wetherill,1,6,BL,0.225
2021,Kelp,Narragansett Bay,Fort Wetherill,1,6,BS,0.6125
2021,Kelp,Narragansett Bay,Fort Wetherill,1,6,C,0.125
2021,Kelp,Narragansett Bay,Fort Wetherill,1,6,S,0.0375
2021,Kelp,Narragansett Bay,King's Beach,0,2,BL,0.7375
2021,Kelp,Narragansett Bay,King's Beach,0,2,BM,0.2
2021,Kelp,Narragansett Bay,King's Beach,0,2,BS,0.0375
2021,Kelp,Narragansett Bay,King's Beach,0,2,C,0.0125
2021,Kelp,Narragansett Bay,King's Beach,0,2,S,0.0125
2021,Kelp,Narragansett Bay,King's Beach,0,3,B,0.0125
2021,Kelp,Narragansett Bay,King's Beach,0,3,BL,0.65
2021,Kelp,Narragansett Bay,King's Beach,0,3,BM,0.2375
2021,Kelp,Narragansett Bay,King's Beach,0,3,BS,0.075
2021,Kelp,Narragansett Bay,King's Beach,0,3,C,0.0125
2021,Kelp,Narragansett Bay,King's Beach,0,3,S,0.0125
2021,Kelp,Narragansett Bay,King's Beach,0,4,B,0.0875
2021,Kelp,Narragansett Bay,King's Beach,0,4,BL,0.5125
2021,Kelp,Narragansett Bay,King's Beach,0,4,BM,0.3375
2021,Kelp,Narragansett Bay,King's Beach,0,4,BS,0.025
2021,Kelp,Narragansett Bay,King's Beach,0,4,C,0.0375
2021,Kelp,Narragansett Bay,King's Beach,1,1,BL,0.7375
2021,Kelp,Narragansett Bay,King's Beach,1,1,BM,0.175
2021,Kelp,Narragansett Bay,King's Beach,1,1,BS,0.0375
2021,Kelp,Narragansett Bay,King's Beach,1,1,S,0.05
2021,Kelp,Narragansett Bay,King's Beach,1,5,B,0.5
2021,Kelp,Narragansett Bay,King's Beach,1,5,BL,0.4125
2021,Kelp,Narragansett Bay,King's Beach,1,5,BM,0.0125
2021,Kelp,Narragansett Bay,King's Beach,1,5,C,0.075
2022,Kelp,Narragansett Bay,Fort Wetherill,0,1,BL,0.9125
2022,Kelp,Narragansett Bay,Fort Wetherill,0,1,S,0.0875
2022,Kelp,Narragansett Bay,Fort Wetherill,0,2,BL,1
2022,Kelp,Narragansett Bay,Fort Wetherill,0,3,B,0.0125
2022,Kelp,Narragansett Bay,Fort Wetherill,0,3,BL,0.3875
2022,Kelp,Narragansett Bay,Fort Wetherill,0,3,BM,0.425
2022,Kelp,Narragansett Bay,Fort Wetherill,0,3,BS,0.0875
2022,Kelp,Narragansett Bay,Fort Wetherill,0,3,C,0.0625
2022,Kelp,Narragansett Bay,Fort Wetherill,0,3,S,0.025
2022,Kelp,Narragansett Bay,Fort Wetherill,0,4,L,0.15
2022,Kelp,Narragansett Bay,Fort Wetherill,0,4,BL,0.566666667
2022,Kelp,Narragansett Bay,Fort Wetherill,0,4,BM,0.166666667
2022,Kelp,Narragansett Bay,Fort Wetherill,0,4,BS,0.083333333
2022,Kelp,Narragansett Bay,Fort Wetherill,0,4,C,0.016666667
2022,Kelp,Narragansett Bay,Fort Wetherill,0,4,S,0.016666667
2022,Kelp,Narragansett Bay,Fort Wetherill,1,5,BL,0.5625
2022,Kelp,Narragansett Bay,Fort Wetherill,1,5,BM,0.1375
2022,Kelp,Narragansett Bay,Fort Wetherill,1,5,BS,0.05
2022,Kelp,Narragansett Bay,Fort Wetherill,1,5,C,0.05
2022,Kelp,Narragansett Bay,Fort Wetherill,1,5,S,0.1875
2022,Kelp,Narragansett Bay,Fort Wetherill,1,5,NA,0.0125
2022,Kelp,Narragansett Bay,Fort Wetherill,1,6,BL,0.0625
2022,Kelp,Narragansett Bay,Fort Wetherill,1,6,BM,0.2
2022,Kelp,Narragansett Bay,Fort Wetherill,1,6,BS,0.4625
2022,Kelp,Narragansett Bay,Fort Wetherill,1,6,C,0.1625
2022,Kelp,Narragansett Bay,Fort Wetherill,1,6,S,0.1125
2022,Kelp,Narragansett Bay,King's Beach,0,2,B,0.0125
2022,Kelp,Narragansett Bay,King's Beach,0,2,BL,0.5
2022,Kelp,Narragansett Bay,King's Beach,0,2,BM,0.1625
2022,Kelp,Narragansett Bay,King's Beach,0,2,C,0.075
2022,Kelp,Narragansett Bay,King's Beach,0,2,S,0.25
2022,Kelp,Narragansett Bay,King's Beach,0,3,B,0.025
2022,Kelp,Narragansett Bay,King's Beach,0,3,BL,0.55
2022,Kelp,Narragansett Bay,King's Beach,0,3,BM,0.25
2022,Kelp,Narragansett Bay,King's Beach,0,3,BS,0.0875
2022,Kelp,Narragansett Bay,King's Beach,0,3,C,0.0375
2022,Kelp,Narragansett Bay,King's Beach,0,3,S,0.05
2022,Kelp,Narragansett Bay,King's Beach,0,4,BL,0.8875
2022,Kelp,Narragansett Bay,King's Beach,0,4,BM,0.075
2022,Kelp,Narragansett Bay,King's Beach,0,4,BS,0.0125
2022,Kelp,Narragansett Bay,King's Beach,0,4,S,0.025
2022,Kelp,Narragansett Bay,King's Beach,1,1,BL,0.95
2022,Kelp,Narragansett Bay,King's Beach,1,1,BM,0.05
2022,Kelp,Narragansett Bay,King's Beach,1,5,BL,0.25
2022,Kelp,Narragansett Bay,King's Beach,1,5,BM,0.075
2022,Kelp,Narragansett Bay,King's Beach,1,5,BS,0.1
2022,Kelp,Narragansett Bay,King's Beach,1,5,C,0.3
2022,Kelp,Narragansett Bay,King's Beach,1,5,S,0.275
2023,Kelp,Narragansett Bay,Fort Wetherill,0,2,BL,0.9375
2023,Kelp,Narragansett Bay,Fort Wetherill,0,2,BM,0.025
2023,Kelp,Narragansett Bay,Fort Wetherill,0,2,C,0.0125
2023,Kelp,Narragansett Bay,Fort Wetherill,0,2,S,0.025
2023,Kelp,Narragansett Bay,Fort Wetherill,0,3,BL,0.9125
2023,Kelp,Narragansett Bay,Fort Wetherill,0,3,BM,0.0125
2023,Kelp,Narragansett Bay,Fort Wetherill,0,3,BS,0.0375
2023,Kelp,Narragansett Bay,Fort Wetherill,0,3,C,0.0125
2023,Kelp,Narragansett Bay,Fort Wetherill,0,3,S,0.025
2023,Kelp,Narragansett Bay,Fort Wetherill,0,4,BL,0.95
2023,Kelp,Narragansett Bay,Fort Wetherill,0,4,BS,0.0125
2023,Kelp,Narragansett Bay,Fort Wetherill,0,4,S,0.0375
2023,Kelp,Narragansett Bay,Fort Wetherill,1,5,BL,1
2023,Kelp,Narragansett Bay,Fort Wetherill,1,6,BL,0.15
2023,Kelp,Narragansett Bay,Fort Wetherill,1,6,BM,0.375
2023,Kelp,Narragansett Bay,Fort Wetherill,1,6,BS,0.175
2023,Kelp,Narragansett Bay,Fort Wetherill,1,6,C,0.1375
2023,Kelp,Narragansett Bay,Fort Wetherill,1,6,S,0.1125
2023,Kelp,Narragansett Bay,Fort Wetherill,1,6,NA,0.05
2023,Kelp,Narragansett Bay,King's Beach,0,2,BL,0.8375
2023,Kelp,Narragansett Bay,King's Beach,0,2,BM,0.0875
2023,Kelp,Narragansett Bay,King's Beach,0,2,BS,0.075
2023,Kelp,Narragansett Bay,King's Beach,0,3,BL,0.875
2023,Kelp,Narragansett Bay,King's Beach,0,3,BM,0.0375
2023,Kelp,Narragansett Bay,King's Beach,0,3,BS,0.025
2023,Kelp,Narragansett Bay,King's Beach,0,3,C,0.0625
2023,Kelp,Narragansett Bay,King's Beach,0,4,BL,0.75
2023,Kelp,Narragansett Bay,King's Beach,0,4,BM,0.2125
2023,Kelp,Narragansett Bay,King's Beach,0,4,BS,0.0125
2023,Kelp,Narragansett Bay,King's Beach,0,4,C,0.0125
2023,Kelp,Narragansett Bay,King's Beach,0,4,RB,0.0125
2023,Kelp,Narragansett Bay,King's Beach,1,1,BL,0.6
2023,Kelp,Narragansett Bay,King's Beach,1,1,BM,0.2125
2023,Kelp,Narragansett Bay,King's Beach,1,1,BS,0.05
2023,Kelp,Narragansett Bay,King's Beach,1,1,C,0.075
2023,Kelp,Narragansett Bay,King's Beach,1,1,S,0.0625
2023,Kelp,Narragansett Bay,King's Beach,1,5,BL,0.5875
2023,Kelp,Narragansett Bay,King's Beach,1,5,BM,0.0125
2023,Kelp,Narragansett Bay,King's Beach,1,5,C,0.1125
2023,Kelp,Narragansett Bay,King's Beach,1,5,S,0.2875
