HABITAT,CONTROL,YEAR,MONTH,DAY,DATE,REGION,SITE,TRANSECT,SP_CODE,COUNT,actual_size
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,0,100
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,4,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,43,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,22,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,0,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,0,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,0,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,TAAD,65,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,0,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,0,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,2,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,1,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,0,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 4,CEST,3,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,26,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,9,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,0,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,0,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,0,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,TAAD,35,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,11,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,7,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,2,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,2,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,0,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,CEST,22,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,1,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 3,MOSA,1,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,74,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,7,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,0,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,0,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,0,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,TAAD,81,NA
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,3,5
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,1,15
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,0,25
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,0,35
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,0,45
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,0,60
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,0,85
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,0,100
Kelp,Kelp,2023,6,30,6/30/23,Narragansett Bay,Kings Beach,KB 2,CEST,4,NA
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,33,5
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,10,15
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,0,25
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,0,35
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,0,45
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,0,60
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,0,85
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,0,100
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,TAAD,43,NA
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,1,5
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,15
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,25
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,35
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,45
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,60
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,85
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,0,100
Kelp,Control,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 6,CEST,1,NA
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,177,5
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,54,15
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,0,25
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,0,35
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,0,45
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,0,60
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,0,85
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,0,100
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,TAAD,231,NA
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,3,5
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,1,15
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,0,25
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,0,35
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,0,45
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,0,60
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,0,85
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,0,100
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,CEST,4,NA
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,5
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,1,15
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,25
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,35
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,45
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,60
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,85
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,0,100
Kelp,Control,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 5,STCH,1,NA
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,75,5
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,34,15
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,0,25
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,0,35
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,0,45
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,0,60
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,0,85
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,0,100
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,TAAD,109,NA
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,4,5
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,2,15
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,1,25
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,0,35
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,0,45
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,0,60
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,0,85
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,0,100
Kelp,Kelp,2023,6,29,6/29/23,Narragansett Bay,Fort Wetherill,FW 2,CEST,7,NA
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,201,5
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,15
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,25
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,35
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,45
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,60
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,85
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,100
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAAD,201,NA
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,NA,5
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,1,15
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,2,25
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,NA,35
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,NA,45
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,NA,60
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,NA,85
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,NA,100
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 1,TAON,3,NA
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,16,5
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,15
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,25
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,35
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,45
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,60
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,85
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,100
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAAD,16,NA
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,2,5
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,15
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,25
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,35
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,45
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,60
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,85
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,NA,100
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,TAON,2,NA
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,CEST,4,5
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,CEST,1,15
Kelp,Control,2022,7,14,7/14/22,Narragansett Bay,Kings Beach,KB 5,CEST,NA,25
